method_id	referenceid	criteria	probe_concentration	probeid	name_show	type	cpid	name_competitor	cell_id	experiment_method	Quantitative Method	cp_concentration	remark
LDD2228	REF000143	Quantification: Probe vs (Probe+Competitor)	10 uM	LDPC0654	NAIA_5	ABPP Probe	LDCM0634	CY-0357	LDCLC0014	.	LFQ	.	.
LDD2227	REF000143	Quantification: Probe vs (Probe+Competitor)	10 uM	LDPC0654	NAIA_5	ABPP Probe	LDCM0632	CL-Sc	LDCLL0014	.	LFQ	.	.
LDD2215	REF000141	Quantification: Probe vs (Probe+Competitor)	1 uM	LDPC0652	CCW36	ABPP Probe	LDCM0631	CCW16	LDCLL0002	.	TMT	20 uM	.
LDD2214	REF000141	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0630	CCW28-3	LDCLC0002	.	Isotope tag	10 uM	.
LDD2207	REF000139	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0628	OTUB2-COV-1	LDCLC0022	.	Isotope tag	10 uM	.
LDD2206	REF000139	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0627	NUDT7-COV-1	LDCLL0022	.	Isotope tag	10 uM	.
LDD2187	REF000029	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0625	F8	LDCLL0042	DIA-ABPP	Isotope tag	500 uM	.
LDD2161	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0624	AC157	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD2165	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0624	AC157	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD2169	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0624	AC157	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD2160	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0623	AC156	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD2164	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0623	AC156	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD2168	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0623	AC156	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD2159	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0622	AC155	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD2163	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0622	AC155	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD2167	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0622	AC155	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD2158	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0621	AC154	LDCLL0031	SLC ABPP	TMT	25 uM	.
LDD2162	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0621	AC154	LDCLL0022	SLC ABPP	TMT	25 uM	.
LDD2166	REF000037	Quantification: Probe vs (Probe+Competitor)	500 uM	LDPC0068	DBIA	ABPP Probe	LDCM0621	AC154	LDCLL0063	SLC ABPP	TMT	25 uM	.
LDD1491	REF000131	Quantification: Probe vs (Probe+Competitor)	10 uM	LDPC0270	Johansson_61	ABPP Probe	LDCM0617	Fragment63-S	LDCLL0024	.	SILAC	7.5 uM	.
LDD1490	REF000131	Quantification: Probe vs (Probe+Competitor)	10 uM	LDPC0270	Johansson_61	ABPP Probe	LDCM0617	Fragment63-S	LDCLL0024	.	SILAC	30 uM	.
LDD1489	REF000131	Quantification: Probe vs (Probe+Competitor)	10 uM	LDPC0270	Johansson_61	ABPP Probe	LDCM0616	Fragment61	LDCLL0024	.	SILAC	30 uM	.
LDD1488	REF000131	Quantification: Probe vs (Probe+Competitor)	10 uM	LDPC0270	Johansson_61	ABPP Probe	LDCM0615	Fragment63-R	LDCLL0024	.	SILAC	7.5 uM	.
LDD1487	REF000131	Quantification: Probe vs (Probe+Competitor)	10 uM	LDPC0270	Johansson_61	ABPP Probe	LDCM0615	Fragment63-R	LDCLL0024	.	SILAC	30 uM	.
LDD1458	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0614	Fragment56	LDCLL0021	.	Isotope tag	500 uM	.
LDD1459	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0614	Fragment56	LDCLL0042	.	Isotope tag	500 uM	.
LDD2205	REF000029	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0614	Fragment56	LDCLL0042	DIA-ABPP	Isotope tag	500 uM	.
LDD1484	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0614	Fragment56	LDCLC0021	.	Isotope tag	200 uM	.
LDD1457	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0613	Fragment55	LDCLL0021	.	Isotope tag	500 uM	.
LDD1456	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0612	Fragment54	LDCLL0021	.	Isotope tag	500 uM	.
LDD1454	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0611	Fragment53	LDCLL0021	.	Isotope tag	500 uM	.
LDD1455	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0611	Fragment53	LDCLL0042	.	Isotope tag	500 uM	.
LDD1452	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0610	Fragment52	LDCLL0021	.	Isotope tag	500 uM	.
LDD1453	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0610	Fragment52	LDCLL0042	.	Isotope tag	500 uM	.
LDD2204	REF000029	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0610	Fragment52	LDCLL0042	DIA-ABPP	Isotope tag	500 uM	.
LDD1449	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0608	Fragment50	LDCLL0021	.	Isotope tag	500 uM	.
LDD1448	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0607	Fragment49	LDCLL0021	.	Isotope tag	500 uM	.
LDD1447	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0606	Fragment48	LDCLL0021	.	Isotope tag	500 uM	.
LDD1446	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0605	Fragment47	LDCLL0021	.	Isotope tag	500 uM	.
LDD1445	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0604	Fragment46	LDCLL0021	.	Isotope tag	500 uM	.
LDD1444	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0603	Fragment45	LDCLL0021	.	Isotope tag	500 uM	.
LDD1482	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0603	Fragment45	LDCLC0021	.	Isotope tag	200 uM	.
LDD1443	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0602	Fragment44	LDCLL0021	.	Isotope tag	500 uM	.
LDD1441	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0601	Fragment43	LDCLL0021	.	Isotope tag	500 uM	.
LDD1442	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0601	Fragment43	LDCLL0042	.	Isotope tag	500 uM	.
LDD1440	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0600	Fragment42	LDCLL0042	.	Isotope tag	500 uM	.
LDD1438	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0599	Fragment41	LDCLL0021	.	Isotope tag	500 uM	.
LDD1439	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0599	Fragment41	LDCLL0042	.	Isotope tag	500 uM	.
LDD1481	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0599	Fragment41	LDCLC0021	.	Isotope tag	200 uM	.
LDD1436	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0598	Fragment40	LDCLL0021	.	Isotope tag	500 uM	.
LDD1437	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0598	Fragment40	LDCLL0042	.	Isotope tag	500 uM	.
LDD1435	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0597	Fragment39	LDCLL0021	.	Isotope tag	500 uM	.
LDD1433	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0596	Fragment38	LDCLL0021	.	Isotope tag	500 uM	.
LDD1434	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0596	Fragment38	LDCLL0042	.	Isotope tag	500 uM	.
LDD2203	REF000029	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0596	Fragment38	LDCLL0042	DIA-ABPP	Isotope tag	500 uM	.
LDD1480	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0596	Fragment38	LDCLC0021	.	Isotope tag	200 uM	.
LDD1432	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0595	Fragment37	LDCLL0042	.	Isotope tag	500 uM	.
LDD1431	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0594	Fragment36	LDCLL0021	.	Isotope tag	500 uM	.
LDD1429	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0593	Fragment35	LDCLL0021	.	Isotope tag	500 uM	.
LDD1430	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0593	Fragment35	LDCLL0042	.	Isotope tag	500 uM	.
LDD1427	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0592	Fragment34	LDCLL0021	.	Isotope tag	500 uM	.
LDD1428	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0592	Fragment34	LDCLL0042	.	Isotope tag	500 uM	.
LDD1423	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0590	Fragment32	LDCLL0021	.	Isotope tag	500 uM	.
LDD1424	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0590	Fragment32	LDCLL0042	.	Isotope tag	500 uM	.
LDD2201	REF000029	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0590	Fragment32	LDCLL0042	DIA-ABPP	Isotope tag	500 uM	.
LDD1421	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0589	Fragment31	LDCLL0021	.	Isotope tag	500 uM	.
LDD1422	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0589	Fragment31	LDCLL0042	.	Isotope tag	500 uM	.
