probeid	name_show	type	pubchemid	cmpdsynonym	mw	mf	polararea	complexity	xlogp	heavycnt	hbonddonor	hbondacc	rotbonds	inchi	isosmiles	canonicalsmiles	inchikey	iupacname
LDPC0223	Hsieh_2	ABPP Probe	166652286	SCHEMBL23645878	502.6	C31H26N4O3	85.2	879	4.5	38	2	4	9	InChI=1S/C31H26N4O3/c1-4-20-38-28-17-10-23(11-18-28)22-6-8-24(9-7-22)29-21-26(14-19-31(37)32-3)34-35(29)27-15-12-25(13-16-27)33-30(36)5-2/h1-2,6-13,15-18,21H,14,19-20H2,3H3,(H,32,37)(H,33,36)	CNC(=O)CCC1=NN(C(=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)OCC#C)C4=CC=C(C=C4)NC(=O)C#C	CNC(=O)CCC1=NN(C(=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)OCC#C)C4=CC=C(C=C4)NC(=O)C#C	PBZVMJKEJBZODL-UHFFFAOYSA-N	N-methyl-3-[5-[4-(4-prop-2-ynoxyphenyl)phenyl]-1-[4-(prop-2-ynoylamino)phenyl]pyrazol-3-yl]propanamide
LDPC0041	BDBM50514113	ABPP Probe	146013528	CHEMBL4593739; BDBM50514113; 4-(2-Chloroacetyl)-N-(4-ethynylbenzyl)-1-methyl-1H-pyrrole-2-carboxamide	314.8	C17H15ClN2O2	51.1	463	2.3	22	1	2	6	InChI=1S/C17H15ClN2O2/c1-3-12-4-6-13(7-5-12)10-19-17(22)15-8-14(11-20(15)2)16(21)9-18/h1,4-8,11H,9-10H2,2H3,(H,19,22)	CN1C=C(C=C1C(=O)NCC2=CC=C(C=C2)C#C)C(=O)CCl	CN1C=C(C=C1C(=O)NCC2=CC=C(C=C2)C#C)C(=O)CCl	MLOJTJXDYQBQRB-UHFFFAOYSA-N	4-(2-chloroacetyl)-N-[(4-ethynylphenyl)methyl]-1-methylpyrrole-2-carboxamide
LDPC0001	aHNE	ABPP Probe	71684698	1011268-23-7; (E)-4-Hydroxynon-2-en-8-ynal; 4-hydroxy Nonenal Alkyne; 4-Hydroxynonenal alkyne; (2E)-4-HYDROXYNON-2-EN-8-YNAL; Alkynyl 4-hydroxy-2-nonenal; AKOS040754962; BP-22691; PD021450; HY-113803; CS-0062904	152.19	C9H12O2	37.3	173	0.6	11	1	2	5	InChI=1S/C9H12O2/c1-2-3-4-6-9(11)7-5-8-10/h1,5,7-9,11H,3-4,6H2/b7-5+	C#CCCCC(/C=C/C=O)O	C#CCCCC(C=CC=O)O	RXECVCDYORIBBT-FNORWQNLSA-N	(E)-4-hydroxynon-2-en-8-ynal
LDPC0002	aONE	ABPP Probe	91757770	4-Oxo-2-Nonenal Alkyne; (E)-4-Oxonon-2-en-8-ynal; 1680193-58-1; 4-Oxo-2-NonenalAlkyne; Alkynyl 4-oxo-2-nonenal; (2E)-4-OXONON-2-EN-8-YNAL; BP-22692; HY-116879; CS-0066735	150.17	C9H10O2	34.1	205	0.5	11	0	2	5	InChI=1S/C9H10O2/c1-2-3-4-6-9(11)7-5-8-10/h1,5,7-8H,3-4,6H2/b7-5+	C#CCCCC(=O)/C=C/C=O	C#CCCCC(=O)C=CC=O	YSPMTKWXGONLQR-FNORWQNLSA-N	(E)-4-oxonon-2-en-8-ynal
LDPC0003	Alkyne tyramide	ABPP Probe	108021005	Alkyne tyramide; 1694495-59-4; N-[2-(4-hydroxyphenyl)ethyl]pent-4-ynamide; N-(4-Hydroxyphenethyl)pent-4-ynamide; Alkyne-tyramide; SCHEMBL26268646; AKOS040759811; MS-23195; HY-131442; CS-0134719; G17521	217.26	C13H15NO2	49.3	258	1.7	16	2	2	5	InChI=1S/C13H15NO2/c1-2-3-4-13(16)14-10-9-11-5-7-12(15)8-6-11/h1,5-8,15H,3-4,9-10H2,(H,14,16)	C#CCCC(=O)NCCC1=CC=C(C=C1)O	C#CCCC(=O)NCCC1=CC=C(C=C1)O	CQZJBJSXQYZLEX-UHFFFAOYSA-N	N-[2-(4-hydroxyphenyl)ethyl]pent-4-ynamide
LDPC0004	BTD	ABPP Probe	155551901	CHEMBL4569928; 1-(Pent-4-yn-1-yl)1H-benzo[c][1,2]thiazin-4(3H)-on-2,2-dioxid	263.31	C13H13NO3S	62.8	468	1.6	18	0	4	3	InChI=1S/C13H13NO3S/c1-2-3-6-9-14-12-8-5-4-7-11(12)13(15)10-18(14,16)17/h1,4-5,7-8H,3,6,9-10H2	C#CCCCN1C2=CC=CC=C2C(=O)CS1(=O)=O	C#CCCCN1C2=CC=CC=C2C(=O)CS1(=O)=O	GSSKUKMXWRNMFK-UHFFFAOYSA-N	2,2-dioxo-1-pent-4-ynyl-2lambda6,1-benzothiazin-4-one
LDPC0005	IPM	ABPP Probe	58992338	2-iodo-N-(prop-2-yn-1-yl)acetamide; 1010386-64-7; 2-iodo-N-prop-2-ynylacetamide; IA-alkyne(Pr); SCHEMBL2026442; 2-Iodo-N-prop-2-ynyl-acetamide; GLXC-26734; MFCD20414752; AKOS014117575; CS-0235968; G74149; EN300-1659582	223.01	C5H6INO	29.1	124	0.3	8	1	1	2	InChI=1S/C5H6INO/c1-2-3-7-5(8)4-6/h1H,3-4H2,(H,7,8)	C#CCNC(=O)CI	C#CCNC(=O)CI	CSMMHDBFJDWUDO-UHFFFAOYSA-N	2-iodo-N-prop-2-ynylacetamide
LDPC0006	ENE	ABPP Probe	24776159	Oct-1-en-7-yn-3-one	122.16	C8H10O	17.1	147	1.4	9	0	1	4	InChI=1S/C8H10O/c1-3-5-6-7-8(9)4-2/h1,4H,2,5-7H2	C=CC(=O)CCCC#C	C=CC(=O)CCCC#C	XBMXBKKGQDPODH-UHFFFAOYSA-N	oct-1-en-7-yn-3-one
LDPC0007	VSF	ABPP Probe	.	.	158.222	C7H10O2S	34.14	158.0401506	0.9581	10	0	2	4	InChI=1S/C7H10O2S/c1-3-5-6-7-10(8,9)4-2/h1,4H,2,5-7H2	C#CCCCS(=O)(=O)C=C	C#CCCCS(=O)(=O)C=C	SPQKVEMIXNZJRB-UHFFFAOYSA-N	.
LDPC0008	PPMS	ABPP Probe	29986572	.	150.2	C4H6O2S2	67.8	188	0.2	8	0	3	2	InChI=1S/C4H6O2S2/c1-3-4-7-8(2,5)6/h1H,4H2,2H3	CS(=O)(=O)SCC#C	CS(=O)(=O)SCC#C	BLCBCXUNFGTUJI-UHFFFAOYSA-N	3-methylsulfonylsulfanylprop-1-yne
